date,sendung,prozent,frames,res,url
2018-11-24,hjo,0%,867FNANA,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/11/181124_sendung_hjo/1/181124_sendung_hjo_776k_p11v14.mp4
2018-11-24,tth,6.7%,895F82T,1/1,http://media.tagesschau.de/video/2018/1124/TV-20181124-2354-0801.h264.mp4
2018-11-25,h19,7%,511F22T,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/11/181125_sendung_h19/1/181125_sendung_h19_776k_p11v14.mp4
2018-11-25,t20,10.2%,688F58T,1/1,http://media.tagesschau.de/video/2018/1125/TV-20181125-2021-2101.h264.mp4
2018-11-25,hjo,0%,1028FNANA,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/11/181125_sendung_hjo/1/181125_sendung_hjo_776k_p11v14.mp4
2018-11-25,tth,28.4%,682F160T,1/1,http://media.tagesschau.de/video/2018/1125/TV-20181125-2314-1901.h264.mp4
2018-11-26,h19,7.6%,980F44T,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/11/181126_sendung_h19/1/181126_sendung_h19_776k_p11v14.mp4
2018-11-26,t20,0%,936FNANA,1/1,http://media.tagesschau.de/video/2018/1126/TV-20181126-2022-3101.h264.mp4
2018-11-26,hjo,8.3%,1541F151T,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/11/181126_sendung_hjo/1/181126_sendung_hjo_776k_p11v14.mp4
2018-11-26,tth,9.2%,1487F167T,1/1,http://media.tagesschau.de/video/2018/1126/TV-20181126-2301-0701.h264.mp4
2018-11-27,h19,3.4%,1019F41T,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/11/181127_sendung_h19/1/181127_sendung_h19_776k_p11v14.mp4
2018-11-27,t20,0%,934FNANA,1/1,http://media.tagesschau.de/video/2018/1127/TV-20181127-2022-4401.h264.mp4
2018-11-27,hjo,0%,1795FNANA,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/11/181127_sendung_hjo/1/181127_sendung_hjo_776k_p11v14.mp4
2018-11-27,tth,0%,1787FNANA,1/1,http://media.tagesschau.de/video/2018/1127/TV-20181127-2256-0701.h264.mp4
2018-11-28,h19,8.1%,20F8T,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/11/181128_sendung_h19/1/181128_sendung_h19_776k_p11v14.mp4
2018-11-28,t20,0%,933FNANA,1/1,http://media.tagesschau.de/video/2018/1128/TV-20181128-2019-2501.h264.mp4
2018-11-28,hjo,7.3%,1506F130T,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/11/181128_sendung_hjo/1/181128_sendung_hjo_776k_p11v14.mp4
2018-11-28,tth,0%,1779FNANA,1/1,http://media.tagesschau.de/video/2018/1128/TV-20181128-2252-5401.h264.mp4
2018-11-29,h19,7.3%,985F36T,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/11/181129_sendung_h19/1/181129_sendung_h19_776k_p11v14.mp4
2018-11-29,t20,0%,999FNANA,1/1,http://media.tagesschau.de/video/2018/1129/TV-20181129-2026-3901.h264.mp4
2018-11-29,hjo,0%,1702FNANA,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/11/181129_sendung_hjo/2/181129_sendung_hjo_776k_p11v14.mp4
2018-11-29,tth,1%,1490F18T,1/1,http://media.tagesschau.de/video/2018/1129/TV-20181129-2301-3401.h264.mp4
2018-11-30,h19,0%,1253FNANA,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/11/181130_sendung_h19/1/181130_sendung_h19_776k_p11v14.mp4
2018-11-30,t20,0%,918FNANA,1/1,http://media.tagesschau.de/video/2018/1130/TV-20181130-2020-4501.h264.mp4
2018-11-30,tth,0%,1013FNANA,1/1,http://media.tagesschau.de/video/2018/1130/TV-20181130-2207-1301.h264.mp4
2018-11-30,hjo,0%,1912FNANA,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/11/181130_sendung_hjo/1/181130_sendung_hjo_776k_p11v14.mp4
2018-12-01,h19,0%,1230FNANA,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181201_sendung_h19/1/181201_sendung_h19_776k_p11v14.mp4
2018-12-01,t20,13.6%,600F121T,1/1,http://media.tagesschau.de/video/2018/1201/TV-20181201-2023-0501.h264.mp4
2018-12-01,hjo,0%,1024FNANA,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181201_sendung_hjo/1/181201_sendung_hjo_776k_p11v14.mp4
2018-12-01,tth,11.5%,778F73T,1/1,http://media.tagesschau.de/video/2018/1202/TV-20181202-0008-2801.h264.mp4
2018-12-02,h19,0%,550FNANA,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181202_sendung_h19/1/181202_sendung_h19_776k_p11v14.mp4
2018-12-02,t20,6.5%,769F60T,1/1,http://media.tagesschau.de/video/2018/1202/TV-20181202-2027-4401.h264.mp4
2018-12-02,hjo,0%,875FNANA,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181202_sendung_hjo/1/181202_sendung_hjo_776k_p11v14.mp4
2018-12-02,tth,22.1%,682F137T,1/1,http://media.tagesschau.de/video/2018/1202/TV-20181202-2315-3601.h264.mp4
2018-12-03,h19,3.9%,1020F47T,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181203_sendung_h19/1/181203_sendung_h19_776k_p11v14.mp4
2018-12-03,t20,0%,922FNANA,1/1,http://media.tagesschau.de/video/2018/1203/TV-20181203-2020-3101.h264.mp4
2018-12-03,hjo,0%,1718FNANA,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181203_sendung_hjo/1/181203_sendung_hjo_776k_p11v14.mp4
2018-12-03,tth,0%,1814FNANA,1/1,http://media.tagesschau.de/video/2018/1203/TV-20181203-2253-3801.h264.mp4
2018-12-04,h19,4.4%,908F50T,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181204_sendung_h19/1/181204_sendung_h19_776k_p11v14.mp4
2018-12-04,t20,0%,943FNANA,1/1,http://media.tagesschau.de/video/2018/1204/TV-20181204-2020-1301.h264.mp4
2018-12-04,hjo,0%,1775FNANA,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181204_sendung_hjo/1/181204_sendung_hjo_776k_p11v14.mp4
2018-12-04,tth,0%,1782FNANA,1/1,http://media.tagesschau.de/video/2018/1204/TV-20181204-2255-5501.h264.mp4
2018-12-05,h19,7.3%,886F51T,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181205_sendung_h19/1/181205_sendung_h19_776k_p11v14.mp4
2018-12-05,t20,0%,940FNANA,1/1,http://media.tagesschau.de/video/2018/1205/TV-20181205-2022-5801.h264.mp4
2018-12-05,hjo,0.8%,1402F15T,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181205_sendung_hjo/1/181205_sendung_hjo_776k_p11v14.mp4
2018-12-05,tth,0%,1757FNANA,1/1,http://media.tagesschau.de/video/2018/1205/TV-20181205-2254-0401.h264.mp4
2018-12-06,h19,5.2%,1004F11T,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181206_sendung_h19/1/181206_sendung_h19_776k_p11v14.mp4
2018-12-06,t20,0%,926FNANA,1/1,http://media.tagesschau.de/video/2018/1206/TV-20181206-2019-4401.h264.mp4
2018-12-06,hjo,0.9%,1426F16T,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181206_sendung_hjo/1/181206_sendung_hjo_776k_p11v14.mp4
2018-12-06,tth,0%,1803FNANA,1/1,http://media.tagesschau.de/video/2018/1206/TV-20181206-2255-1101.h264.mp4
2018-12-07,h19,6%,1031F41T,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181207_sendung_h19/1/181207_sendung_h19_776k_p11v14.mp4
2018-12-07,t20,0%,916FNANA,1/1,http://media.tagesschau.de/video/2018/1207/TV-20181207-2028-4901.h264.mp4
2018-12-07,tth,0%,1028FNANA,1/1,http://media.tagesschau.de/video/2018/1207/TV-20181207-2208-0401.h264.mp4
2018-12-07,hjo,0%,1805FNANA,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181207_sendung_hjo/1/181207_sendung_hjo_776k_p11v14.mp4
2018-12-08,h19,5.3%,948F59T,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181208_sendung_h19/1/181208_sendung_h19_776k_p11v14.mp4
2018-12-08,t20,12.6%,647F120T,1/1,http://media.tagesschau.de/video/2018/1208/TV-20181208-2022-5901.h264.mp4
2018-12-08,hjo,0%,912FNANA,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181208_sendung_hjo/1/181208_sendung_hjo_776k_p11v14.mp4
2018-12-08,tth,13.7%,765F81T,1/1,http://media.tagesschau.de/video/2018/1208/TV-20181208-2357-0601.h264.mp4
